category_numeric,amt,state_numeric,job_numeric,trans_hour,month_name_numeric,dayOfWeek_numeric,is_fraud
0,133.93,0,0,12,6,0,0
1,2.91,1,1,12,6,0,0
2,47.81,2,2,12,6,0,0
3,46.67,3,3,12,6,0,0
2,3.94,4,4,12,6,0,0
3,49.57,0,5,12,6,0,0
4,189.99,5,5,12,6,0,0
1,19.41,6,6,12,6,0,0
3,75.24,7,2,12,6,0,0
5,19.73,5,7,12,6,0,0
1,136.16,8,8,12,6,0,0
4,68.51,2,9,12,6,0,0
4,3.37,2,7,12,6,0,0
5,12.33,2,8,12,6,0,0
5,37.0,9,10,12,6,0,0
2,16.02,10,7,13,6,0,0
1,185.27,11,11,13,6,0,0
1,70.54,12,5,13,6,0,0
4,5.53,11,12,13,6,0,0
3,49.49,13,1,13,6,0,0
2,127.97,14,13,13,6,0,0
2,66.84,11,12,13,6,0,0
1,20.89,5,7,13,6,0,0
6,5.7,15,5,13,6,0,0
0,132.57,1,11,13,6,0,0
1,103.86,4,2,13,6,0,0
1,16.1,13,1,13,6,0,0
7,63.97,13,1,14,6,0,0
5,91.47,11,3,14,6,0,0
4,3.84,16,4,14,6,0,0
2,44.19,17,7,14,6,0,0
5,37.3,14,13,14,6,0,0
3,108.15,11,3,14,6,0,0
8,28.56,3,3,14,6,0,0
6,41.07,16,4,14,6,0,0
9,4.49,18,14,14,6,0,0
1,103.54,11,11,14,6,0,0
3,1.52,19,0,14,6,0,0
3,48.85,20,1,14,6,0,0
1,21.31,2,14,14,6,0,0
1,94.2,21,10,14,6,0,0
0,19.03,6,11,14,6,0,0
8,6.55,12,5,14,6,0,0
3,62.35,11,12,15,6,0,0
4,3.09,4,4,15,6,0,0
0,5.11,19,0,15,6,0,0
6,3.25,17,3,15,6,0,0
3,116.53,6,11,15,6,0,0
2,75.6,16,15,15,6,0,0
3,21.51,1,1,15,6,0,0
1,40.63,22,12,15,6,0,0
1,18.49,2,8,15,6,0,0
5,12.04,6,11,15,6,0,0
9,120.3,5,5,16,6,0,0
1,65.94,23,16,16,6,0,0
1,7.24,24,17,16,6,0,0
3,71.61,20,18,16,6,0,0
1,30.57,2,7,16,6,0,0
0,160.13,11,19,16,6,0,0
9,724.14,2,8,16,6,0,0
0,12.95,6,11,16,6,0,0
3,51.41,8,9,16,6,0,0
2,37.41,0,5,16,6,0,0
5,4.55,8,9,16,6,0,0
4,2.42,5,5,16,6,0,0
3,25.56,11,11,16,6,0,0
9,9.59,11,12,16,6,0,0
3,108.52,20,1,16,6,0,0
10,1.55,2,14,16,6,0,0
1,132.8,25,18,16,6,0,0
0,4.2,17,7,16,6,0,0
1,11.3,26,8,16,6,0,0
2,139.59,8,9,17,6,0,0
4,145.31,7,2,17,6,0,0
8,13.35,18,14,17,6,0,0
1,38.28,23,16,17,6,0,0
9,72.23,16,4,17,6,0,0
9,2.84,1,11,17,6,0,0
4,123.62,27,19,17,6,0,0
5,12.53,9,10,17,6,0,0
10,474.02,27,19,17,6,0,0
3,17.96,16,4,17,6,0,0
0,71.27,8,8,17,6,0,0
2,46.82,11,20,17,6,0,0
10,1.6,2,9,18,6,0,0
3,2.46,5,10,18,6,0,0
2,90.15,27,19,18,6,0,0
3,40.56,8,8,18,6,0,0
9,17.59,11,3,18,6,0,0
10,5.75,8,2,18,6,0,0
9,6.69,6,11,18,6,0,0
0,28.52,23,16,18,6,0,0
3,64.41,15,5,18,6,0,0
8,8.77,25,21,18,6,0,0
1,21.07,7,15,18,6,0,0
4,2.44,13,1,18,6,0,0
8,5.88,9,8,18,6,0,0
8,5.96,2,2,18,6,0,0
3,83.26,28,3,18,6,0,0
5,7.07,23,16,18,6,0,0
9,19.87,5,5,18,6,0,0
6,4.14,13,18,18,6,0,0
0,174.47,29,20,18,6,0,0
1,3.99,13,18,18,6,0,0
0,2.81,1,20,18,6,0,0
4,242.81,10,7,19,6,0,0
5,43.87,15,6,19,6,0,0
3,27.83,30,15,19,6,0,0
9,4.4,21,13,19,6,0,0
10,73.18,4,4,19,6,0,0
6,2.96,6,6,19,6,0,0
1,42.91,6,6,19,6,0,0
9,19.46,7,16,19,6,0,0
0,75.04,29,6,19,6,0,0
5,4.79,11,12,19,6,0,0
1,8.93,22,12,19,6,0,0
4,2.8,11,12,19,6,0,0
3,89.71,11,11,19,6,0,0
4,103.65,2,14,19,6,0,0
1,32.28,14,13,19,6,0,0
8,14.06,10,7,19,6,0,0
1,70.48,28,0,19,6,0,0
9,2.14,2,14,19,6,0,0
5,72.66,9,10,19,6,0,0
2,34.33,7,16,19,6,0,0
0,142.08,16,15,19,6,0,0
1,33.29,8,2,19,6,0,0
4,258.15,2,8,19,6,0,0
9,1.04,18,14,19,6,0,0
2,125.24,17,3,19,6,0,0
2,48.07,11,14,19,6,0,0
2,46.0,17,3,19,6,0,0
5,117.33,29,20,19,6,0,0
2,13.84,21,9,19,6,0,0
5,81.32,13,1,19,6,0,0
9,122.82,1,1,20,6,0,0
1,92.62,2,8,20,6,0,0
0,25.7,4,1,20,6,0,0
2,43.28,14,21,20,6,0,0
8,48.32,11,19,20,6,0,0
0,16.81,5,5,20,6,0,0
4,139.48,7,2,20,6,0,0
8,8.72,17,3,20,6,0,0
2,26.77,1,11,20,6,0,0
4,4.66,11,12,20,6,0,0
2,14.05,6,11,20,6,0,0
1,80.71,1,11,20,6,0,0
0,20.62,0,0,20,6,0,0
2,49.04,14,13,21,6,0,0
3,88.68,26,8,21,6,0,0
5,45.46,1,20,21,6,0,0
5,14.73,25,18,21,6,0,0
3,75.16,5,5,21,6,0,0
9,28.33,5,5,21,6,0,0
8,25.18,31,15,21,6,0,0
5,40.35,5,7,21,6,0,0
9,1.15,13,1,21,6,0,0
5,32.5,5,5,21,6,0,0
6,5.88,6,11,21,6,0,0
1,59.27,21,10,21,6,0,0
6,96.16,2,10,21,6,0,0
10,6.45,2,9,21,6,0,0
5,165.06,17,3,21,6,0,0
7,890.22,6,6,22,6,0,0
9,3.5,1,11,22,6,0,0
4,451.33,11,3,22,6,0,0
5,162.53,29,20,22,6,0,0
5,15.57,11,20,22,6,0,0
2,59.55,2,8,22,6,0,0
1,323.1,5,7,22,6,0,0
9,8.36,11,14,22,6,0,0
1,88.05,21,10,22,6,0,0
8,79.2,2,14,22,6,0,0
4,5.17,16,4,22,6,0,0
3,76.87,20,18,22,6,0,0
0,16.49,0,0,23,6,0,0
3,19.09,13,18,23,6,0,0
4,5.22,16,4,23,6,0,0
